Symbol,Sector Score,Cap Score
SUMICHEM,6.6,6.7
SUNDARMFIN,6.4,6.4
SUNDRMFAST,6.1,6.2
SUNPHARMA,7.3,8.5
SUNTV,7.1,10.0
SUPRAJIT,4.8,4.9
SUPREMEIND,7.4,7.4
SURAKSHA,6.5,6.5
SURYAROSNI,7.3,7.3
SYMPHONY,7.0,7.8
SYNCOMF,8.4,8.4
SYNGENE,4.9,5.0
TAJGVK,6.9,8.4
TALBROAUTO,8.1,8.1
TANLA,7.6,8.3
TARIL,9.1,9.3
TATACONSUM,6.8,6.8
TATAELXSI,7.5,8.1
TATAPOWER,7.1,8.2
TATATECH,6.9,7.4
TBOTEK,7.1,7.1
TCI,8.0,8.2
TCIEXP,4.0,4.9
TCPLPACK,7.4,7.4
TCS,7.2,7.7
TEAMLEASE,7.0,8.5
TECHM,4.7,5.0
TECHNOE,9.5,10.0
THEJO,7.9,7.9
THERMAX,6.9,7.0
THOMASCOOK,3.6,4.4
TIIL,7.4,7.4
TIINDIA,8.2,8.4
TIMETECHNO,6.3,6.4
TITAN,9.4,10.0
TORNTPHARM,7.5,8.8
TORNTPOWER,8.7,10.0
TPLPLASTEH,6.7,7.3
TRANSRAILL,8.9,9.0
TRENT,8.2,10.0
TRIDENT,5.2,5.5
TRITURBINE,9.5,9.6
TVSELECT,6.8,6.8
TVSHLTD,9.3,9.3
UBL,4.8,4.8
UCOBANK,4.3,4.3
UDS,7.2,7.8
ULTRACEMCO,7.5,7.5
UNIECOM,4.8,5.2
UNIMECH,5.5,5.5
UNIONBANK,6.5,6.5
UNIPARTS,5.6,5.6
UNITDSPR,8.1,8.1
UNITEDPOLY,4.9,6.4
UNITEDTEA,4.9,5.7
UNOMINDA,9.3,9.5
USHAMART,6.0,6.0
UTTAMSUGAR,4.0,4.6
VADILALIND,9.3,10.0
VAIBHAVGBL,5.8,5.8
VASCONEQ,7.0,10.0
VBL,10.0,10.0
VEDL,7.1,7.1
VEEDOL,7.2,7.8
VERTOZ,9.7,10.0
VGUARD,7.4,8.4
VIDHIING,5.1,5.5
VIJAYA,7.5,7.7
VIMTALABS,5.5,5.5
VINATIORGA,6.2,6.4
VISHNU,7.9,8.4
VOLTAS,5.8,6.2
VRAJ,4.9,6.0
VSTIND,5.3,5.7
VSTTILLERS,4.4,4.4
VTL,5.7,6.1
WAAREEENER,9.5,9.5
WEALTH,9.1,10.0
WEL,3.8,3.8
WELCORP,7.3,7.3
WELSPUNLIV,5.6,5.9
WHEELS,7.0,7.0
WINDLAS,7.1,7.1
WIPRO,6.0,6.5
WSTCSTPAPR,9.7,10.0
