Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
KARNAVATI,BSE,KARNAVATI.BO,False,Price Rs 1.3 < Rs 5,1.26,2.01,,305.0
ABHIFIN,BSE,ABHIFIN.BO,False,Daily value Rs 0.0L < Rs 10L,42.26,0.03,,2658.0
MERCANTILE,BSE,MERCANTILE.BO,False,Daily value Rs 0.7L < Rs 10L,20.61,0.66,,304.0
SONAL,BSE,SONAL.BO,False,Daily value Rs 1.3L < Rs 10L,100.8,1.28,,296.0
ALFL,BSE,ALFL.BO,False,Price Rs 1.1 < Rs 5,1.13,0.18,,305.0
MERCURYLAB,BSE,MERCURYLAB.BO,False,Daily value Rs 0.8L < Rs 10L,780.4,0.83,,275.0
CONCORD,BSE,CONCORD.BO,False,Daily value Rs 7.3L < Rs 10L,76.77,7.26,,304.0
WARDINMOBI,BSE,WARDINMOBI.BO,True,,6.12,103.54,184.1,1498.0
SHREESEC,BSE,SHREESEC.BO,False,Price Rs 0.2 < Rs 5,0.19,2.61,,305.0
TALBROSENG,BSE,TALBROSENG.BO,True,,629.95,11.38,319.79,305.0
SAPL,BSE,SAPL.BO,False,Daily value Rs 4.8L < Rs 10L,1940.0,4.77,,170.0
JAYATMA,BSE,JAYATMA.BO,False,Daily value Rs 0.0L < Rs 10L,15.41,0.0,,2723.0
CHENFERRO,BSE,CHENFERRO.BO,False,Daily value Rs 1.4L < Rs 10L,68.29,1.37,,305.0
MEGRISOFT,BSE,MEGRISOFT.BO,False,Daily value Rs 0.2L < Rs 10L,75.67,0.15,,299.0
GITARENEW,BSE,GITARENEW.BO,False,Daily value Rs 3.3L < Rs 10L,79.11,3.26,,305.0
KALPACOMME,BSE,KALPACOMME.BO,False,Daily value Rs 0.4L < Rs 10L,8.2,0.44,,171.0
ORTEL,BSE,ORTEL.BO,False,Price Rs 1.8 < Rs 5,1.76,0.06,,1885.0
NEIL,BSE,NEIL.BO,False,Daily value Rs 0.3L < Rs 10L,6.39,0.26,,304.0
STARHFL,BSE,STARHFL.BO,False,Price Rs 4.2 < Rs 5,4.15,5.91,,2354.0
BEEKAY,BSE,BEEKAY.BO,True,,367.55,11.29,700.99,305.0
SSPNFIN,BSE,SSPNFIN.BO,False,Daily value Rs 0.0L < Rs 10L,10.59,0.01,,2712.0
SETFBSE100,BSE,SETFBSE100.BO,False,Daily value Rs 2.4L < Rs 10L,268.15,2.44,,304.0
TIRUPATIIN,BSE,TIRUPATIIN.BO,False,Daily value Rs 3.1L < Rs 10L,6.28,3.14,,305.0
GANVERSE,BSE,GANVERSE.BO,True,,22.63,11.44,55.66,297.0
MANAKALUCO,BSE,MANAKALUCO.BO,True,,25.09,23.98,164.42,2633.0
RAJPUTANA,BSE,RAJPUTANA.BO,False,Daily value Rs 0.3L < Rs 10L,32.52,0.33,,925.0
CCDL,BSE,CCDL.BO,False,Price Rs 0.8 < Rs 5,0.81,2.03,,305.0
URSUGAR,BSE,URSUGAR.BO,False,Price Rs 2.3 < Rs 5,2.28,3.31,,1734.0
FILTRA,BSE,FILTRA.BO,False,Daily value Rs 3.2L < Rs 10L,60.02,3.19,,121.0
ATHCON,BSE,ATHCON.BO,False,Price Rs 3.5 < Rs 5,3.52,0.04,,2699.0
NORTHLINK,BSE,NORTHLINK.BO,False,Daily value Rs 0.0L < Rs 10L,15.77,0.0,,2694.0
SHESHAINDS,BSE,SHESHAINDS.BO,False,Daily value Rs 0.2L < Rs 10L,14.99,0.23,,286.0
SAB,BSE,SAB.BO,False,Daily value Rs 0.1L < Rs 10L,133.35,0.14,,213.0
PML,BSE,PML.BO,False,Daily value Rs 3.3L < Rs 10L,484.6,3.28,,305.0
ALANSCOTT,BSE,ALANSCOTT.BO,False,Daily value Rs 6.8L < Rs 10L,251.1,6.85,,285.0
OPCHAINS,BSE,OPCHAINS.BO,False,Daily value Rs 0.0L < Rs 10L,31.01,0.0,,2694.0
SUJALA,BSE,SUJALA.BO,False,MCap Rs 20.6Cr < Rs 50Cr,35.98,44.63,20.59,305.0
