Symbol,Sector,Industry,Broad Sector,Revenue CAGR 5Y,Revenue CAGR 10Y,Revenue CAGR Max,Revenue CAGR Years,Avg OPM 5Y,Avg OPM 10Y,Profit CAGR 5Y,Profit CAGR 10Y,Profit CAGR Max,Profit CAGR Years,TTM Revenue,Revenue YoY Q,Revenue Consecutive YoY,Revenue Accelerating,TTM Profit,Profit YoY Q,Profit Positive Q,Total Quarters,Latest OPM Q,Avg OPM 4Q,Margin Improving,Latest EPS Q,EPS YoY Growth,Latest Debt,Debt Reducing,Latest Equity,ROE,Debt to Equity,Latest Operating CF,CF Positive Years,CF Total Years,CF Growing,Latest ROCE,ROCE Improving,Avg ROCE 5Y,Promoter Holding,Promoter Change 4Q,Promoter Change 8Q,FII Holding,FII Change 4Q,DII Holding,DII Change 4Q,ROE from Ratios,ROE Avg 5Y,ROE Improving,Final ROE
VGUARD,Consumer Durables,Household Appliances,Consumer Discretionary,17.38,,13.08,8.0,9.4,,10.8,,10.14,8,5749.0,10.64,2.0,True,287.0,-5.0,13,13,9.0,8.5,True,1.31,-5.07,151.0,True,2191.0,13.1,0.07,477.0,8,9,True,20.0,False,20.2,53.28,-1.08,-1.28,12.12,-1.6,23.32,3.07,,,,13.1
SYMPHONY,Consumer Durables,Household Appliances,Consumer Discretionary,7.4,11.62,11.62,10.0,15.8,19.9,3.1,6.22,6.22,10,974.0,-26.03,0.0,False,160.0,,12,13,16.0,16.75,True,2.91,,5.0,True,783.0,20.43,0.01,259.0,12,12,True,37.0,True,20.8,73.42,0.0,0.04,5.3,-1.48,8.74,0.29,,,,20.43
WONDERLA,Consumer Services,Amusement Parks/ Other Recreation,Consumer Discretionary,11.11,9.69,9.69,10.0,14.4,25.2,10.89,7.89,7.89,10,480.0,10.66,2.0,True,76.0,-30.0,12,13,30.0,26.25,False,2.28,-28.75,5.0,True,1761.0,4.32,0.0,123.0,11,12,True,8.0,True,8.0,62.25,-0.01,-7.49,5.49,-1.92,11.22,-0.84,,,,4.32
PIIND,Chemicals,Pesticides & Agrochemicals,Commodities,18.84,15.19,15.19,10.0,24.4,23.0,29.43,21.04,21.04,10,6935.0,-27.62,0.0,False,1450.0,-16.62,13,13,22.0,25.75,False,20.52,-16.48,242.0,False,10827.0,13.39,0.02,1413.0,12,12,True,23.0,True,21.6,46.09,0.0,0.0,15.97,-2.49,30.94,3.87,,,,13.39
RALLIS,Chemicals,Pesticides & Agrochemicals,Commodities,9.37,7.66,7.66,10.0,12.6,14.1,-11.2,4.97,4.97,10,2605.0,7.86,4.0,False,164.0,-275.0,12,13,-1.0,9.5,False,-0.73,-273.81,93.0,False,1696.0,9.67,0.05,166.0,12,12,True,13.0,False,17.0,55.08,0.0,0.0,12.08,0.22,11.3,-1.99,,,,9.67
DHANUKA,Chemicals,Pesticides & Agrochemicals,Commodities,12.69,9.99,9.99,10.0,18.4,17.5,16.07,10.85,10.85,10,2035.0,20.11,4.0,True,298.0,28.81,13,13,25.0,20.25,True,16.75,29.34,74.0,False,1403.0,21.24,0.05,263.0,12,12,True,28.0,False,29.6,69.72,-0.57,-0.47,2.14,-0.02,18.78,0.05,,,,21.24
DYNPRO,Chemicals,Specialty Chemicals,Commodities,15.12,11.05,11.05,10.0,14.4,16.2,-8.97,5.24,5.24,10,368.5,-5.1,0.0,False,17.8,5.01,12,13,13.96,13.62,True,3.71,1.64,79.0,True,233.0,7.64,0.34,28.0,12,12,False,10.0,False,8.8,29.42,0.0,0.0,0.15,-0.11,0.8,0.52,,,,7.64
GULFPETRO,"Oil, Gas & Consumable Fuels",Lubricants,Energy,4.23,4.11,4.11,10.0,5.0,5.7,10.2,17.92,17.92,10,661.94,24.54,2.0,True,25.77,-21.44,13,13,5.08,5.8,False,1.03,-21.37,16.0,True,340.0,7.58,0.05,-8.0,6,12,False,11.0,True,10.4,41.22,-6.87,-22.22,0.42,-0.05,0.0,-0.12,,,,7.58
SUVIDHAA,Financial Services,Financial Technology (Fintech),Financial Services,,,,,,,,,,5,,,,,-13.79,,1,13,,,,-0.1,,,,31.0,-44.48,,-5.0,3,6,False,-32.0,False,-13.8,38.33,0.0,-0.44,3.16,0.0,,,,,,-44.48
ABSLAMC,Financial Services,Asset Management Company,Financial Services,,,,,,,13.51,,19.56,8,,,,,1016.0,20.54,13,13,,,,9.33,19.92,,,3564.0,28.51,,708.0,8,9,True,36.0,False,38.8,74.82,-0.08,-11.66,6.05,1.01,10.79,-0.72,,,,28.51
