Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,ML_Prediction,ML_Confidence
BALRAMCHIN,Consumer,0.0,72.1,False,True,0.2,0.0,1.6,2.7,15.6,493.65,499.22,561.7,Bullish Continual,0.2
BALUFORGE,Industrial,86.5,0.0,True,False,0.0,83.9,2.2,3.5,18.9,447.55,453.19,520.7,Bullish,86.5
BANCOINDIA,Industrial,84.1,0.0,True,False,0.0,85.4,2.8,3.7,22.5,569.06,574.03,678.25,Bullish,84.1
BANKBARODA,Financial,73.1,0.0,True,False,0.0,0.0,2.5,4.1,20.3,286.81,291.56,336.67,Bullish,73.1
BANKINDIA,Financial,79.1,0.0,True,False,0.6,0.0,2.6,4.6,20.3,154.33,157.37,180.98,Reversal,79.1
BASF,Chemicals,73.5,0.0,True,False,0.0,85.8,-0.1,1.4,15.0,3307.35,3360.2,3810.01,Bearish,0.0
BATAINDIA,Consumer,82.5,0.0,True,False,0.0,82.2,3.8,4.5,9.0,688.25,693.06,722.86,Reversal,82.5
BBOX,IT,0.0,0.0,False,False,0.0,0.0,2.4,4.6,16.1,516.26,527.79,585.48,Bullish,0.0
BBTC,Consumer,77.7,0.0,True,False,0.0,86.8,0.0,0.9,9.2,1504.82,1518.65,1643.46,Reversal,77.7
BCLIND,Consumer,75.2,0.0,True,False,0.0,88.9,1.5,4.6,26.1,27.52,28.35,34.17,Bullish,75.2
BECTORFOOD,Consumer,82.0,0.0,True,False,0.0,88.0,0.6,3.0,9.4,183.9,188.32,200.04,Reversal,82.0
BEL,Industrial,0.0,0.0,False,False,77.3,0.0,2.1,4.7,18.0,435.07,446.31,502.81,Bullish,0.0
BEPL,Chemicals,0.0,0.1,False,False,0.0,0.2,1.9,4.1,21.9,88.16,90.06,105.44,Bullish Continual,0.0
BERGEPAINT,Consumer,72.6,0.0,True,False,0.0,87.0,0.0,1.2,9.7,416.89,421.88,457.21,Bullish,72.6
BETA,Healthcare,0.0,0.0,False,False,0.0,78.1,6.5,5.6,11.9,1178.42,1167.58,1237.44,Bullish,0.0
BHARATFORG,Industrial,0.0,0.0,False,False,79.3,0.0,2.7,4.3,21.1,1757.4,1784.4,2071.79,Bullish,0.0
BHARATRAS,Chemicals,85.2,0.0,True,False,0.0,78.8,7.4,6.4,11.3,1369.85,1357.33,1420.49,Reversal,85.2
BHARTIARTL,Industrial,64.1,0.0,True,False,0.0,0.1,1.3,1.6,8.4,1870.63,1876.45,2001.22,Reversal,64.1
BIKAJI,Consumer,0.0,0.0,False,False,0.0,86.1,0.5,1.4,7.5,632.61,638.69,676.86,Bullish,0.0
BIRLAMONEY,Financial,84.6,0.0,True,False,0.0,89.5,2.5,4.1,16.5,114.7,116.59,130.41,Bullish,84.6
BLS,Consumer,83.1,0.0,True,False,0.0,87.2,0.7,3.4,6.6,242.35,248.89,256.56,Reversal,83.1
BLSE,IT,82.7,0.0,True,False,0.0,84.6,1.0,0.9,5.6,145.83,145.71,152.43,Bullish Continual,0.0
BLUEDART,Industrial,60.4,0.0,True,False,0.0,86.8,-0.1,0.7,5.9,5097.95,5138.93,5401.77,Bearish,0.0
BLUESTARCO,Consumer,77.8,0.0,True,False,0.0,0.0,0.6,2.4,12.2,1719.15,1750.13,1917.11,Bullish,77.8
BOROLTD,Consumer,74.0,0.0,True,False,0.0,87.2,0.5,3.0,14.2,223.22,228.7,253.49,Reversal,74.0
BOSCHLTD,Industrial,67.1,0.0,True,False,0.0,86.7,0.1,1.1,9.3,30420.66,30736.88,33214.53,Reversal,67.1
BPCL,Industrial,80.3,0.0,True,False,0.0,0.1,0.8,2.7,7.7,290.15,295.57,309.94,Bullish,80.3
BRIGADE,Industrial,86.2,0.0,True,False,0.0,84.5,3.6,5.2,6.5,666.87,677.51,685.62,Reversal,86.2
BRITANNIA,Consumer,66.7,0.0,True,False,0.0,0.2,0.5,2.0,9.8,5648.7,5729.76,6169.05,Bullish,66.7
BSOFT,IT,79.9,0.0,True,False,0.0,84.5,0.3,2.4,13.9,359.19,366.77,407.72,Reversal,79.9
CAMPUS,Consumer,76.2,0.0,True,False,0.0,87.8,0.4,1.6,11.0,225.83,228.7,249.78,Reversal,76.2
CAMS,Financial,70.8,0.0,True,False,0.0,85.7,2.5,4.1,20.3,656.41,667.27,770.52,Reversal,70.8
CANBK,Financial,76.9,0.0,True,False,0.0,0.0,2.6,4.6,20.3,139.92,142.68,164.09,Bullish,76.9
CAPACITE,Industrial,80.3,0.0,True,False,0.0,90.4,-0.2,3.0,10.6,223.51,230.58,247.65,Bearish Continual,90.4
