Symbol,Sector,Market_Cap_Cr,Cap_Tier,Passed,Fail_Reason
BOROLTD,Consumer Durables,2654.84,Mid Cap,True,
BORORENEW,Capital Goods,5900.55,Mini Large,False,TTM Profit negative or zero
BOROSCI,Capital Goods,931.23,Small Cap,False,ROE 6.7% < 10% (Small Cap)
BOSCHLTD,Automobile and Auto Components,89656.92,Large Cap,True,
BPCL,"Oil, Gas & Consumable Fuels",124862.18,Large Cap,True,
BPL,Consumer Durables,230.68,Small Cap,False,TTM Profit negative or zero
BRIGADE,Realty,15749.37,Mini Large,True,
BRITANNIA,Fast Moving Consumer Goods,135331.85,Large Cap,True,
BRNL,Construction,158.08,Small Cap,False,D/E 1.05 > 1.0 (Small Cap)
BROOKS,Healthcare,155.28,Small Cap,False,TTM Profit negative or zero
BSE,Financial Services,113963.88,Large Cap,False,Promoter nan% < 15% (Large Cap)
BSHSL,Fast Moving Consumer Goods,823.02,Small Cap,False,TTM Profit negative or zero
BSOFT,Information Technology,10007.01,Mini Large,True,
BTML,"Media, Entertainment & Publication",116.78,Small Cap,False,ROE 6.2% < 10% (Small Cap)
BUTTERFLY,Consumer Durables,1145.81,Mid Cap,False,TTM Profit negative or zero
BVCL,Construction Materials,87.71,Small Cap,False,ROE 4.0% < 10% (Small Cap)
BYKE,Consumer Services,171.89,Small Cap,False,TTM Profit negative or zero
CAMLINFINE,Chemicals,2280.32,Mid Cap,False,TTM Profit negative or zero
CAMPUS,Consumer Durables,6875.85,Mini Large,True,
CAMS,Financial Services,15898.64,Mini Large,True,
CANBK,Financial Services,123759.97,Large Cap,True,
CANFINHOME,Financial Services,10925.57,Mini Large,False,TTM Profit negative or zero
CANTABIL,Textiles,1982.64,Mid Cap,False,TTM Profit negative or zero
CAPACITE,Construction,1902.68,Mid Cap,True,
CAPITALSFB,Financial Services,1090.28,Mid Cap,False,TTM Profit negative or zero
CAPLIPOINT,Healthcare,12213.6,Mini Large,True,
CARBORUNIV,Capital Goods,14420.28,Mini Large,True,
CARERATING,Financial Services,4620.33,Mid Cap,False,Promoter nan% < 25% (Mid Cap)
CARRARO,Automobile and Auto Components,2512.55,Mid Cap,True,
CARTRADE,Consumer Services,8126.9,Mini Large,False,ROE 6.2% < 7% (Mini Large)
CARYSIL,Consumer Durables,2223.96,Mid Cap,True,
CASTROLIND,"Oil, Gas & Consumable Fuels",18530.22,Mini Large,False,TTM Profit negative or zero
CCCL,Realty,668.8,Small Cap,False,Inconsistent profits: 5.0/13.0 quarters
CCL,Fast Moving Consumer Goods,14486.62,Mini Large,True,
CDSL,Financial Services,24887.72,Large Cap,True,
CEATLTD,Automobile and Auto Components,14270.81,Mini Large,True,
CEIGALL,Construction,4713.32,Mid Cap,False,Poor CF: 1.0/5.0 yrs
