Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
ARCHIDPLY,NSE,ARCHIDPLY.NS,True,,69.35,15.73,138.72,4367.0
ARE&M,NSE,ARE&M.NS,True,,759.15,2385.81,13895.9,594.0
ARIES,NSE,ARIES.NS,True,,339.05,111.25,440.91,4484.0
ARIHANTCAP,NSE,ARIHANTCAP.NS,True,,68.01,458.14,746.33,1181.0
ARIHANTSUP,NSE,ARIHANTSUP.NS,True,,211.6,99.57,916.66,2219.0
ARKADE,NSE,ARKADE.NS,True,,103.22,404.0,1916.42,371.0
ARMANFIN,NSE,ARMANFIN.NS,True,,1511.6,654.25,1589.13,2415.0
ARROWGREEN,NSE,ARROWGREEN.NS,True,,378.45,107.9,571.0,2677.0
ARTEMISMED,NSE,ARTEMISMED.NS,True,,225.85,367.63,,1503.0
ARVIND,NSE,ARVIND.NS,True,,359.25,2206.82,9416.47,5893.0
ARVINDFASN,NSE,ARVINDFASN.NS,True,,396.7,879.8,5312.51,1739.0
ARVSMART,NSE,ARVSMART.NS,True,,534.2,682.61,2450.21,2609.0
ASAHIINDIA,NSE,ASAHIINDIA.NS,True,,810.45,2468.64,20660.57,5896.0
ASAHISONG,NSE,ASAHISONG.NS,True,,206.92,26.49,244.73,3590.0
ASAL,NSE,ASAL.NS,True,,416.55,81.73,666.0,5891.0
ASALCBR,NSE,ASALCBR.NS,True,,727.8,345.7,1461.36,1511.0
ASHAPURMIN,NSE,ASHAPURMIN.NS,True,,502.85,4199.38,4803.53,7584.0
ASHIANA,NSE,ASHIANA.NS,True,,303.5,648.03,3050.93,3632.0
ASHIMASYN,NSE,ASHIMASYN.NS,True,,14.07,16.86,271.47,5890.0
ASHOKA,NSE,ASHOKA.NS,True,,113.73,1169.43,3194.37,3808.0
ASHOKLEY,NSE,ASHOKLEY.NS,True,,168.89,31058.24,99203.53,5892.0
ASIANENE,NSE,ASIANENE.NS,True,,282.45,422.87,1268.48,1060.0
ASIANHOTNR,NSE,ASIANHOTNR.NS,True,,287.6,68.15,1228.31,5889.0
ASIANPAINT,NSE,ASIANPAINT.NS,True,,2195.4,27935.77,210449.79,5890.0
ASIANTILES,NSE,ASIANTILES.NS,True,,60.44,1945.23,1797.15,4582.0
ASKAUTOLTD,NSE,ASKAUTOLTD.NS,True,,409.2,593.07,8067.08,576.0
ASMS,NSE,ASMS.NS,True,,7.77,201.21,237.65,4980.0
ASPINWALL,NSE,ASPINWALL.NS,True,,207.83,26.93,162.49,2414.0
ASTEC,NSE,ASTEC.NS,True,,562.85,448.28,1254.12,4029.0
ASTERDM,NSE,ASTERDM.NS,True,,626.95,4995.23,32417.06,1993.0
ASTRAL,NSE,ASTRAL.NS,True,,1631.8,9760.95,43838.34,4689.0
ASTRAMICRO,NSE,ASTRAMICRO.NS,True,,890.8,2871.92,8457.7,5283.0
ASTRAZEN,NSE,ASTRAZEN.NS,True,,8321.0,835.6,20802.5,5892.0
ATALREAL,NSE,ATALREAL.NS,True,,23.36,662.65,289.42,1319.0
ATGL,NSE,ATGL.NS,True,,551.9,21104.9,60730.65,1823.0
ATL,NSE,ATL.NS,True,,22.32,60.85,651.43,640.0
ATLANTAA,NSE,ATLANTAA.NS,True,,37.09,35.58,304.0,4807.0
ATUL,NSE,ATUL.NS,True,,6245.0,1462.94,18386.38,5890.0
