Symbol,Sector,Historical Score,Peer Score,Quality Score,Promoter Holding %,FII + DII %,Final Score
RNBDENIMS,Textiles,19.2,28.0,15,57.38,0.63,62.2
RAJRATAN,Automobile and Auto Components,21.0,25.1,16,65.13,8.77,62.1
SILVERTUC,Information Technology,24.0,23.0,15,74.61,1.36,62.0
ADOR,Capital Goods,27.0,21.0,14,53.74,12.7,62.0
HINDUNILVR,Fast Moving Consumer Goods,18.0,29.0,15,61.9,26.39,62.0
SMSPHARMA,Healthcare,24.0,19.0,19,68.07,3.25,62.0
INFY,Information Technology,24.0,26.0,12,14.52,71.35,62.0
TATAPOWER,Power,32.0,17.0,13,46.86,27.2,62.0
MADHAVIPL,Construction,34.0,12.0,16,68.81,0.0,62.0
ALEMBICLTD,Realty,22.0,24.0,16,70.88,1.34,62.0
BALKRISIND,Automobile and Auto Components,28.0,21.0,13,58.3,35.42,62.0
BRIGADE,Realty,31.0,19.0,12,41.12,41.69,62.0
ICIL,Textiles,28.0,20.0,14,58.74,15.89,62.0
STERTOOLS,Automobile and Auto Components,28.0,17.0,17,65.15,0.24,62.0
KALYANKJIL,Consumer Durables,24.0,23.0,15,62.75,29.34,62.0
CAPACITE,Construction,22.0,29.0,11,31.69,22.63,62.0
ADANIENT,Metals & Mining,30.0,17.0,15,73.97,18.35,62.0
LTTS,Information Technology,21.0,25.0,16,73.58,18.79,62.0
TCS,Information Technology,24.0,23.0,15,71.77,23.18,62.0
EMKAY,Financial Services,27.0,22.9,12,71.91,0.85,61.9
FLAIR,Fast Moving Consumer Goods,20.8,26.0,15,78.59,10.42,61.8
WINDLAS,Healthcare,24.8,21.0,16,61.98,12.37,61.8
MANKIND,Healthcare,22.4,24.0,15,72.66,24.6,61.4
SHYAMMETL,Capital Goods,26.4,20.0,15,74.59,12.08,61.4
20MICRONS,Metals & Mining,28.0,19.4,14,45.04,0.33,61.4
DODLA,Fast Moving Consumer Goods,22.4,26.0,13,58.92,31.12,61.4
PNB,Financial Services,31.0,17.3,13,70.08,22.02,61.3
CERA,Consumer Durables,23.0,25.0,13,54.41,28.62,61.0
ESCORTS,Capital Goods,28.0,18.0,15,68.04,17.45,61.0
PRAJIND,Capital Goods,34.0,17.0,10,32.81,30.96,61.0
SUPREMEIND,Capital Goods,27.0,21.0,13,48.96,36.35,61.0
KIRLOSBROS,Capital Goods,25.0,20.0,16,65.95,16.37,61.0
ADFFOODS,Fast Moving Consumer Goods,22.0,28.0,11,36.14,34.42,61.0
RADICO,Fast Moving Consumer Goods,21.0,28.0,12,40.21,43.85,61.0
DEEPAKFERT,Chemicals,32.0,18.0,11,45.63,23.48,61.0
TAJGVK,Consumer Services,27.0,19.0,15,71.0,4.95,61.0
BAJAJ-AUTO,Automobile and Auto Components,21.0,27.0,13,54.99,22.91,61.0
SIEMENS,Capital Goods,29.0,17.0,15,75.0,15.2,61.0
APOLLOHOSP,Healthcare,29.0,22.0,10,28.02,65.04,61.0
ORBTEXP,Textiles,16.0,29.0,16,66.05,0.0,61.0
ABCAPITAL,Financial Services,22.0,26.0,13,68.57,19.82,61.0
COROMANDEL,Chemicals,23.0,24.0,14,56.86,30.48,61.0
AWHCL,Utilities,30.0,17.0,14,46.08,15.5,61.0
TIIL,Capital Goods,26.0,18.0,17,74.74,7.44,61.0
SHRIRAMFIN,Financial Services,33.0,20.0,8,25.38,68.5,61.0
GESHIP,Services,28.0,23.0,10,30.08,41.9,61.0
ROSSARI,Chemicals,24.8,22.0,14,68.15,20.57,60.8
BECTORFOOD,Fast Moving Consumer Goods,24.8,24.0,12,49.04,36.36,60.8
TCPLPACK,Capital Goods,24.8,21.0,15,55.74,13.62,60.8
INTELLECT,Information Technology,30.0,21.7,9,29.81,33.71,60.7
MSTCLTD,Services,24.0,21.7,15,64.75,5.02,60.7
MASFIN,Financial Services,22.0,26.7,12,66.63,23.36,60.7
NISUS,Financial Services,14.4,32.0,14,73.66,2.42,60.4
INDHOTEL,Consumer Services,30.0,19.4,11,38.12,45.75,60.4
KOTAKBANK,Financial Services,29.0,21.3,10,25.87,62.24,60.3
ONWARDTEC,Information Technology,27.0,18.3,15,39.09,12.29,60.3
AAVAS,Financial Services,22.4,26.7,11,48.95,39.02,60.1
SURYAROSNI,Capital Goods,23.0,19.0,18,62.89,6.79,60.0
ASIANPAINT,Consumer Durables,20.0,26.0,14,52.63,33.86,60.0
WPIL,Capital Goods,24.0,22.0,14,70.79,8.18,60.0
NUCLEUS,Information Technology,21.0,22.0,17,73.59,6.29,60.0
HINDALCO,Metals & Mining,31.0,18.0,11,34.65,51.33,60.0
WELCORP,Capital Goods,25.0,22.0,13,49.73,32.0,60.0
SHAKTIPUMP,Capital Goods,22.0,25.0,13,50.34,11.64,60.0
VEEDOL,"Oil, Gas & Consumable Fuels",15.0,28.0,17,64.58,2.34,60.0
BBTC,Fast Moving Consumer Goods,21.0,25.0,14,74.04,10.84,60.0
SARLAPOLY,Textiles,22.0,22.0,16,57.07,1.62,60.0
VEDL,Metals & Mining,19.0,28.0,13,56.38,27.46,60.0
MEDIASSIST,Financial Services,24.8,26.0,9,4.62,75.18,59.8
ELECTCAST,Capital Goods,34.0,13.7,12,46.22,19.62,59.7
MORGANITE,Capital Goods,12.0,33.6,14,75.0,1.35,59.6
NILE,Metals & Mining,18.4,26.0,15,50.39,0.43,59.4
MOREPENLAB,Healthcare,28.0,18.3,13,35.66,2.87,59.3
MARICO,Fast Moving Consumer Goods,18.0,29.0,12,58.93,36.25,59.0
DALMIASUG,Fast Moving Consumer Goods,22.0,23.0,14,74.92,0.79,59.0
CIPLA,Healthcare,27.0,20.0,12,29.22,54.38,59.0
MEDPLUS,Consumer Services,28.0,21.0,10,40.29,43.41,59.0
KDDL,Consumer Durables,20.0,25.0,14,50.44,10.21,59.0
MANINFRA,Construction,21.0,25.0,13,62.43,5.95,59.0
SHREEPUSHK,Chemicals,25.0,18.0,16,69.36,0.97,59.0
KAMAHOLD,Financial Services,21.0,22.0,16,75.0,0.32,59.0
TATATECH,Information Technology,24.0,20.0,15,55.21,8.43,59.0
AGI,Capital Goods,25.0,17.0,17,60.23,9.48,59.0
UDS,Services,24.0,20.0,15,59.09,16.38,59.0
AXISCADES,Capital Goods,24.0,21.0,14,58.05,2.39,59.0
EIDPARRY,Fast Moving Consumer Goods,23.0,23.0,13,41.45,28.89,59.0
DRREDDY,Healthcare,31.0,18.0,10,26.64,52.78,59.0
MAITHANALL,Metals & Mining,21.0,25.0,13,74.96,1.3,59.0
PUNJABCHEM,Chemicals,26.0,20.0,13,39.22,3.57,59.0
